Function,Cfg,PopSize,Epochs,MeanBest,StdBest,MedianBest,Seconds
Rotated High Conditioned Elliptic,1,20,500,7965824.871603341,5057160.2353235455,7093397.407122504,86.644287109375
Rotated High Conditioned Elliptic,2,50,1000,10316825.833621765,4554404.257459601,10064124.604386566,177.34312105178833
Rotated High Conditioned Elliptic,3,100,2000,8795377.993121466,3237624.1613409794,8644199.915223293,408.45981073379517
Shifted & Rotated Weierstrass,1,20,500,10.03069708763391,0.6262134009540326,10.051362484048155,115.31368684768677
Shifted & Rotated Weierstrass,2,50,1000,9.709076657843811,0.7429980431838089,9.764556184226143,245.5465807914734
Shifted & Rotated Weierstrass,3,100,2000,9.336482664469992,0.6646353490289776,9.485043479185087,542.6203761100769
