Function,Cfg,PopSize,Epochs,MeanBest,StdBest,MedianBest,Seconds
Rotated High Conditioned Elliptic,1,20,500,8936678.571014788,5054587.566140711,7873444.918249361,34.00640106201172
Rotated High Conditioned Elliptic,2,50,1000,11135035.002271432,3274617.0608880892,11286975.611791713,50.38886308670044
Rotated High Conditioned Elliptic,3,100,2000,8709287.13130322,3546639.0667942218,7643326.1841232255,114.10669183731079
Shifted & Rotated Weierstrass,1,20,500,10.028952639120451,0.653621881159647,10.104618525759424,32.92945575714111
Shifted & Rotated Weierstrass,2,50,1000,9.738178791457914,0.7484147491344311,9.869537933293689,69.49415898323059
Shifted & Rotated Weierstrass,3,100,2000,9.448394848060953,0.6458478168768177,9.541072265430127,146.82915806770325
