Function,Cfg,PopSize,Epochs,MeanBest,StdBest,MedianBest,Seconds
Rotated High Conditioned Elliptic,1,20,500,9179205.416984309,4573641.761402622,8227935.279536249,0.0046367645263671875
Rotated High Conditioned Elliptic,2,50,1000,8899121.087753939,3482030.0238786624,8524218.48921568,8.797645568847656e-05
Rotated High Conditioned Elliptic,3,100,2000,8675000.820701908,3402743.9598334753,8485077.618616853,7.700920104980469e-05
Shifted & Rotated Weierstrass,1,20,500,10.344500335832603,0.5906148031581975,10.287390236775709,9.417533874511719e-05
Shifted & Rotated Weierstrass,2,50,1000,9.78926986244207,0.6941276225811761,10.133682741124304,8.296966552734375e-05
Shifted & Rotated Weierstrass,3,100,2000,9.42204401115812,0.6122306100015927,9.580233909244022,9.107589721679688e-05
