Function,Cfg,PopSize,Epochs,MeanBest,StdBest,MedianBest
Rotated High Conditioned Elliptic,1,20,500,9345016.43364452,4586295.588610275,8917356.390460845
Rotated High Conditioned Elliptic,2,50,1000,8696616.710684897,4004400.7737992574,7951273.261364817
Rotated High Conditioned Elliptic,3,100,2000,9022585.948500004,3039812.133280048,8194340.58151258
Shifted & Rotated Weierstrass,1,20,500,10.100108785863107,0.5668571407616378,10.359946304701534
Shifted & Rotated Weierstrass,2,50,1000,9.699548879483663,0.47385894482670626,9.786871926925265
Shifted & Rotated Weierstrass,3,100,2000,9.525371644464922,0.5748517750151609,9.54566733874021
